Id     Team         Establishment   Champion   Stadium    Manager    Owner
100    Galatasaray    1905    20    100    100    100
101    Fenerbahce    1907    19    101    101    101
102    Besiktas    1903    14    102    102    102
103    Basaksehir    2014    0    103    103    103
104    Trabzonspor    1967    7    104    104    104
105    Antalyaspor    1966    0    105    105    105
106    Genclerbirligi    1923    0    106    106    106
107    Konyaspor    1922    0    107    107    107
108    Osmanlispor    2014    0    108    108    108
109    Kasimpasa    1921    0    109    109    109
110    Karabukspor    1969    0    110    110    110
111    Bursaspor    1963    1    111    111    111
112    Alanyaspor    1948    0    112    112    112
113    Kayserispor    1966    0    113    113    113
114    Gaziantepspor    1969    0    114    114    114
115    Rizespor    1953    0    115    115    115
116    Adanaspor    1954    0    116    116    116
117    Akhisar    1970    0    117    117    117
